stt,en,vi,ipa
292,I share my toy with Yukio.,Tớ chia sẻ đồ chơi với Yukio.,i share my toy with yukio
293,We should be kind to friends.,Chúng ta nên tử tế với bạn bè.,we should be kind to /fɹɛn(d)z/
294,He is glad.,Cậu ấy rất vui.,/hi/ is /ɡlæd/
295,I play with blocks.,Tớ chơi với các khối xếp hình.,i /pleɪ/ with /blɒks/
296,I want to stack the blocks as tall as I am.,Tớ muốn xếp chồng các hình khối cao như tớ.,i /wɔnt/ /tʉː/ /stæk/ /ði/ /blɒks/ as /tɔːl/ as i [e̞m]
297,There’re many kinds of shapes of blocks.,Có rất nhiều hình khối có hình dạng khác nhau.,/ðeː(ɹ)/ /ɹeɪ/ /ˈmæni/ kinds of shapes of blocks
298,I finish the puzzle.,Tớ đã xếp hình xong.,i finish the puzzle
299,I put the last piece in the center of it.,Tớ xếp mảnh ghép cuối cùng vào giữa bức tranh.,i put the last piece in the center of it
300,It turned out to be a purple car.,Nó đã trở thành một chiếc xe hơi màu tím.,it turned out to be a purple car
301,I meet a friend.,Tớ gặp một người bạn.,i meet a friend
302,I wave to her.,Tớ vẫy cô ấy.,i wave to her
303,We talk for a while.,Chúng tớ nói chuyện một lát.,we talk for a while
304,I go shopping.,Tớ đi mua sắm.,i go shopping
305,I get to the shop.,Tớ đến cửa hàng.,i get to the shop
306,I can see a lot of fruit.,Tớ nhìn thấy rất nhiều hoa quả.,i /ˈkæn/ /siː/ /æɪ/ /lɒt/ /ɔv/ /fɹuːt/
307,I hold a basket.,Tớ xách một chiếc giỏ.,i /həʊld/ /æɪ/ /ˈbaːskət/
308,It’s big.,Nó rất to.,/ɪt/ s /bɪɡ/
309,I carry it with both hands.,Tớ phải xách nó bằng cả hai tay.,i /ˈkæ.ɹi/ /ɪt/ with /bəʊθ/ /hæn(d)z/
310,I buy some bananas.,Tớ mua vài quả chuối.,i /baɪ/ /sɐm/ /bəˈnɑːnəz/
311,I like bananas.,Tớ thích chuối.,i /laɪk/ /bəˈnɑːnəz/
312,I choose ripe ones.,Tớ chọn những quả đã chín.,i choose ripe ones
313,I say the name of the vegetable.,Tớ đọc tên của loại củ.,i say the name of the vegetable
314,It is “carrot”.,Đó là cà rốt.,it is carrot
315,Can you name the fruit?,Bạn có thể kể tên một loại quả không?,can you name the fruit
316,I eat ice cream in the coffee shop.,Tớ ăn kem trong quán cà phê.,i eat ice cream in the coffee shop
317,Mommy drinks cream soda.,Mẹ uống soda kem.,mommy drinks cream soda
318,We have a good time.,Tớ và mẹ đã có khoảng thời gian tuyệt vời bên nhau.,we have a good time
319,I honk the horn.,Tớ bấm còi.,i honk the horn
320,It makes a big noise.,Nó tạo ra tiếng ồn rất lớn.,it makes a big noise
321,I sit in the driver’s seat.,Tớ ngồi vào ghế lái xe.,i sit in the /ˈdɹaɪ.və(ɹ)/ s /siːt/
322,I cook dinner.,Tớ nấu bữa tối.,i /kuːk/ /ˈdɪnə/
323,I mix the ingredients with chopsticks.,Tớ dùng đũa trộn các nguyên liệu với nhau.,i /ˈmɪks/ /ði/ ingredients with chopsticks
324,I slice the cucumber.,Tớ thái dưa chuột.,i /slaɪs/ /ði/ /ˈkjuːˌkʌmbə/
325,I run very fast.,Tớ chạy rất nhanh.,i /ɹʊn/ /ˈvɛɹi/ /fɑːst/
326,I want to win the race.,Tớ muốn thắng cuộc đua này.,i /wɔnt/ /tʉː/ /wɪn/ /ði/ /ɹeɪs/
327,I tie the red band around my head.,Tớ đeo một chiếc băng đỏ quanh đầu.,i /taɪ/ /ði/ /ɹɛd/ band around my head
328,I throw a ball.,Tớ ném bóng.,i throw a ball
329,I try to throw it far.,Tớ cố gắng ném nó thật xa.,i try to throw it far
330,It’s fun to play outside.,Chơi ở ngoài thật vui.,it s fun to play outside
331,I dig in the garden.,Tớ đào hố ở trong vườn.,i dig in the garden
332,I use a shovel.,Tớ dùng một cái xẻng.,i use a shovel
333,I stretch out my legs.,Tớ dang chân ra.,i stretch out my legs
334,I walk fast.,Tớ đi bộ rất nhanh.,i walk fast
335,I swing my arms.,Tớ vung vẩy tay.,i swing my arms
336,Walking fast is good for my health.,Đi bộ nhanh rất tốt cho sức khỏe của tớ.,walking fast is good for my health
337,I walk slowly.,Tớ đi bộ chậm.,i /wɔːk/ /ˈsləʊli/
338,I feel like a turtle.,Tớ thấy mình giống như một con rùa vậy.,i /fiːl/ /laɪk/ /æɪ/ /ˈtɜːtəl/
339,It takes more time to get to the place.,Sẽ tốn thời gian hơn để đến một nơi nào đó.,/ɪt/ /teɪks/ /ˈmɔː/ /tɑem/ /tʉː/ /ɡɛt/ /tʉː/ /ði/ /pleɪs/
340,I pull weeds.,Tớ nhổ cỏ.,i /pʊl/ /wiːdz/
341,It’s hard work.,Đó là một công việc nặng nhọc.,/ɪt/ s /hɑːd/ /wɜːk/
342,There are a lot of weeds in my garden.,Có rất nhiều cỏ ở trong vườn.,/ðeː(ɹ)/ are a lot of weeds in my garden
343,I pick baby corn.,Tớ hái ngô non.,i pick baby corn
344,The bowl is almost full.,Cái bát gần đầy rồi.,the bowl is almost full
345,The stalks grow high.,Thân cây mọc cao.,the stalks grow high
346,I sit on the sofa.,Tớ ngồi trên ghế sofa.,i sit on the sofa
347,I hold a toy rabbit in my arm.,Tớ giữ con thỏ đồ chơi ở trong tay mình.,i hold a toy rabbit in my arm
348,I wonder where Mommy has gone.,Tớ tự hỏi không biết mẹ đi đâu rồi.,i wonder where mommy has gone
349,I hop about.,Tớ nhảy lò cò.,i hop about
350,Mommy comes back.,Mẹ đã quay về.,mommy comes back
351,I’m happy.,Tớ rất vui.,i m /ˈhæpiː/
352,I have dinner.,Tớ ăn tối.,i have /ˈdɪnə/
353,I wear my yellow bib.,Tớ đeo cái yếm màu vàng.,i /wɛə/ /mi/ /jɛlə/ /bɪb/
354,I eat rice a lot.,Tớ ăn rất nhiều cơm.,i /iːt/ /ɹaɪs/ /æɪ/ /lɒt/
355,I set the table.,Tớ chuẩn bị bàn ăn.,i /sɛt/ /ði/ /ˈteɪbəl/
356,I spread the tablecloth over the table.,Tớ trải khăn trải bàn.,i /spɹɛd/ /ði/ tablecloth over the table
357,I have a party today.,Tớ có một bữa tiệc hôm nay.,i have a party today
358,I put the flowers on the table.,Tớ đặt hoa lên bàn.,i put the flowers on the table
359,The flowers are beautiful.,Hoa rất đẹp.,the flowers are beautiful
360,I put them at the center of the table.,Tớ để hoa vào chính giữa bàn.,i put them at the center of the table
361,I carry the dish with two hands.,Tớ bê đĩa bằng hai tay.,i carry the dish with two hands
362,It looks delicious.,Nó trông rất ngon.,it looks delicious
363,I help Mommy to prepare for the party.,Tớ giúp mẹ chuẩn bị bữa tiệc.,i help mommy to prepare for the party
364,I sit on the chair.,Tớ ngồi lên ghế.,i sit on the chair
365,I’m sitting still.,Tớ vẫn đang ngồi.,i m /ˈsɪtɪŋ/ /stɪl/
366,I’m well-mannered.,Tớ rất lịch sự.,i m /wɛl/ mannered
367,I take a bath.,Tớ đi tắm.,i /teɪk/ /æɪ/ /bɐːθ/
368,I’m naked.,Tớ đang không mặc gì.,i m /ˈnɛkɪd/
369,I take my toy with me.,Tớ mang theo đồ chơi của mình.,i /teɪk/ /mi/ /tɔɪ/ with /miː/
370,I shampoo my sister’s hair.,Tớ gội đầu cho em gái.,i /ʃamˈpuː/ /mi/ /ˈsɪs.tə/ s /heː/
371,She looks like she feels better.,Có vẻ như em ấy đang cảm thấy tốt hơn.,/ʃiː/ /lʊks/ /laɪk/ /ʃiː/ feels better
372,She has short hair.,Em ấy có tóc ngắn.,she has short hair
373,I feel better.,Tớ cảm thấy dễ chịu hơn.,i feel better
374,The toy duck is floating around me.,Con vịt đồ chơi đang nổi bồng bềnh quanh người tớ.,the toy duck is floating around me
375,I count twenty with my body soaked.,Tớ ngâm mình trong nước và đếm đến 20.,i count twenty with my body soaked
376,I dry my body.,Tớ lau khô người.,i dry my body
377,I feel warm.,Tớ thấy ấm.,i feel warm
378,I wrap myself in a bathtowel.,Tớ quấn người mình bằng một chiếc khăn tắm.,i wrap myself in a bathtowel
379,I weigh myself on the scale.,Tớ cân.,i weigh myself on the scale
380,I look at the scale.,Tớ nhìn vào cân.,i look at the scale
381,I put on weight.,Tớ tăng cân rồi.,i /pʊt/ /ɒn/ /weɪt/
382,I have seafood for dinner.,Tớ ăn hải sản cho bữa tối.,i have /ˈsiːfuːd/ for /ˈdɪnə/
383,I have two rolls instead of rice.,Tớ ăn hai ổ bánh mì thay cơm.,i have /tuː/ /ɹəʊlz/ /ɪnˈstɛd/ /ɔv/ /ɹaɪs/
384,I like fried shrimp.,Tớ thích ăn tôm chiên.,i /laɪk/ /fɹaɪd/ /ʃɹɪmp/
385,I hold my breath.,Tớ nín thở.,i /həʊld/ /mi/ /bɹɛθ/
386,I have hiccups.,Tớ bị nấc.,i have /ˈhɪkəps/
387,I want Mommy to tap my back.,Tớ muốn mẹ vỗ đằng sau lưng cho tớ.,i /wɔnt/ mommy /tʉː/ /tæp/ /mi/ /bæk/
388,I get into bed.,Tớ leo lên giường.,i get into bed
389,I sleep with my bear.,Tớ ngủ với con gấu bông của mình.,i sleep with my bear
390,I want to have a good dream.,Tớ muốn mơ một giấc mơ thật đẹp.,i want to have a good dream
391,I get under the blanket.,Tớ chui dưới chăn.,i get under the blanket
392,I crawl under the blanket.,Tớ bò dưới cái chăn.,i crawl under the blanket
393,I feel like a caterpillar.,Tớ thấy mình giống như 1 con sâu vậy.,i feel like a caterpillar
394,I stay at home alone.,Tớ ở nhà một mình.,i stay at home alone
395,I feel lonely.,Tớ cảm thấy cô đơn.,i feel lonely
396,I hope Mommy comes home soon.,Tớ mong mẹ sẽ sớm về nhà.,i hope mommy comes home soon
397,I eat a lot.,Tớ ăn rất nhiều.,i /iːt/ /æɪ/ /lɒt/
398,I eat every kind of food.,Tớ ăn nhiều loại thức ăn.,i /iːt/ every /kaɪnd/ /ɔv/ /fuːd/
399,Sometimes I eat too much.,Đôi lúc tớ ăn quá nhiều.,/ˈsʌmtaɪmz/ i /iːt/ /tuː/ /mʌt͡ʃ/
400,I fall and get hurt.,Tớ ngã và bị đau.,i /fɔːl/ and /ɡɛt/ /hɜːt/
401,My leg is bleeding.,Chân của tớ chảy máu.,/mi/ /leɪɡ/ is /ˈbliːdɪŋ/
402,I try not to cry.,Tớ cố không khóc.,i /tɹaɪ/ /nɒt/ /tʉː/ /kɹaɪ̯/
403,I cover myself up in the blanket.,Tớ đắp chăn lên người.,i cover myself up in the blanket
404,I’m going to take a nap.,Tớ sẽ đi nghỉ trưa.,i m going to take a nap
405,I look at my toes under the blanket.,Tớ nhìn vào những ngón chân ở dưới chăn..,i look at my toes under the blanket
406,I carry my school bag.,Tớ mang theo cặp sách.,i carry my school bag
407,It’s new.,Nó là cặp sách mới.,it s new
408,I think it’s suit me.,Tớ nghĩ nó rất hợp với tớ.,i think it s suit me
409,I forgot to gargle.,Tớ quên súc họng.,i forgot to gargle
410,I always gargle before I go out.,Tớ luôn luôn súc họng khi đi ra ngoài.,i always gargle before i go out
411,It prevents catching a cold.,Nó giúp ngăn ngừa bị cảm lạnh.,/ɪt/ prevents /ˈkætʃɪŋ/ /æɪ/ /kɔʊld/
412,I see a doctor.,Tớ gặp bác sĩ.,i /siː/ /æɪ/ /ˈdɒktə/
413,I have a sore throat.,Tớ bị viêm họng.,i have /æɪ/ /sɔː/ /ˈθɹəʊt/
414,He checks my throat.,Bác ấy kiểm tra họng của tớ.,/hi/ /tʃɛks/ /mi/ /ˈθɹəʊt/
415,I get a shot.,Tớ bị tiêm.,i /ɡɛt/ /æɪ/ /ʃɒt/
416,I roll up my left sleeve.,Tớ vén tay áo bên trái lên.,i /ɹəʊl/ /ap/ /mi/ /lɛft/ /sliːv/
417,The shot is painful.,Tiêm rất đau.,/ði/ /ʃɒt/ is painful
418,I sing a song.,Tớ hát một bài hát.,i sing a song
419,I sing along with the piano.,Tớ hát theo đàn piano.,i sing along with the piano
420,I clasp my hands behind my back.,Tớ nắm chặt tay mình ở đằng sau lưng.,i clasp my hands behind my back
421,I play the piano.,Tớ chơi đàn.,i play the piano
422,I practice it every day.,Tớ luyện tập mỗi ngày.,i practice it every day
423,I take a piano lesson once a week.,Tớ tham gia lớp học đàn piano mỗi tuần một lần.,i take a piano lesson once a week
424,I clap my hands.,Tớ vỗ tay.,i clap my hands
425,I watch a show.,Tớ xem một buổi trình diễn.,i watch a /ʃəʊ/
426,I clap my hands in time to the music.,Tớ vỗ tay theo nhạc.,i /klæp/ /mi/ /hæn(d)z/ /ɪn/ /tɑem/ /tʉː/ /ði/ /ˈmjuːzɪk/
427,I click my castanets.,Tớ bật chiêc castenet của tớ lên.,i /klɪk/ /mi/ /ˌkæs.tə.ˈnɛts/
428,I spread my arms.,Tớ dang hai cánh tay.,i /spɹɛd/ /mi/ /ɑːmz/
429,My next turn comes soon.,Sắp đến lượt tớ rồi.,/mi/ /nɛkst/ /tɜːn/ /kʌmz/ /suːn/
430,I fold paper.,Tớ gấp giấy.,i /fəʊld/ paper
431,I do origami.,Tớ gấp origami. ,i do origami
432,I make a triangle first.,"Đầu tiên, tớ gấp hình tam giác",i make a triangle first
433,I make a paper crane.,Tớ gấp một con hạc giấy.,i make a paper crane
434,I made it very well.,Tớ gấp rất đẹp.,i made it very well
435,I have two more pieces of paper left.,Tớ còn hai tờ giấy nữa.,i have two more pieces of paper left
436,I fold paper in half.,Tớ gập giấy làm đôi.,i fold paper in half
437,It’s a big piece.,Đó là một mảnh giấy rất to.,it s a big piece
438,What shall I make next?,Tiếp theo tớ nên gập gì đây?,what shall i make next
439,I decorate the room with paper cranes.,Tớ trang trí phòng với những con hạc giấy.,i /ˈdɛkəɹeɪt/ /ði/ /ɹuːm/ with /ˈpeɪpə/ /kɹeɪnz/
440,I hang it on the wall.,Tớ treo nó lên tường.,i [heɪŋ] /ɪt/ /ɒn/ /ði/ /wɔːl/
441,There is a picture on the wall too.,Có một bức tranh cũng được treo ở trên tường.,/ðeː(ɹ)/ is /æɪ/ /ˈpɪktʃə/ /ɒn/ /ði/ /wɔːl/ /tuː/
442,I get mad.,Tớ nổi giận.,i /ɡɛt/ /ˈmæːd/
443,I’m flushed with anger.,Mặt tớ đỏ bừng vì cơn giận.,i m flushed with anger
444,I clench my fists.,Tớ nắm chặt hai nắm đấm.,i clench my fists
445,I show a picture story.,Tớ đưa ra một bức tranh trong một câu chuyện.,i show a picture story
446,I put the pictures on the desk.,Tớ để bức tranh lên bàn.,i put the pictures on the desk
447,I read the story in a very amusing way.,Tớ đọc truyện theo một cách rất vui vẻ.,i read the story in a very amusing way
448,I take my shirt out of the basket.,Tớ lấy áo ra khỏi giỏ.,i take my shirt out of the basket
449,Which is my shirt?,Cái nào là áo của tớ?,which is my shirt
450,I pick a blue shirt.,Tớ nhặt chiếc áo màu xanh lên.,i pick a blue /ʃɜːt/
451,I ask Mommy.,Tớ hỏi mẹ.,i /ˈask/ mommy
452,She is reading a magazine.,Mẹ đang đọc báo.,/ʃiː/ is /ˈɹidiŋ/ /æɪ/ /mæɡəˈziːn/
453,She knows a lot of things.,Mẹ biết rất nhiều điều.,/ʃiː/ /nəʊz/ /æɪ/ /lɒt/ /ɔv/ /θɪŋz/
454,I put on my make-up.,Tớ trang điểm.,i /pʊt/ /ɒn/ /mi/ /meɪk/ /ap/
455,I put some lipstick on my lips.,Tớ tô son.,i /pʊt/ /sɐm/ /ˈlɪpˌstɪk/ /ɒn/ /mi/ /lɪps/
456,I mess up the room with cosmetics.,Tớ làm phòng bừa bộn với đồ mĩ phẩm của mình.,i mess up the room with cosmetics
457,I imitate the sumo wrestler.,Tớ bắt chước theo võ si sumo.,i imitate the sumo wrestler
458,He is fat.,Chú ấy rất béo.,he is fat
459,He looks strong.,Chú ấy trông rất khỏe.,he looks strong
460,I pile up the blocks.,Tớ xếp hình khối.,i pile up the blocks
461,I put the tringle block on top of it.,Tớ đặt hình tam giác lên trên cùng.,i put the tringle block on top of it
462,I pick the blocks from the box.,Tớ nhặt các khối hình từ hộp ra.,i pick the blocks from the box
463,I make a story house.,Tớ xếp thành một ngôi nhà.,i make a story house
464,It’s a big colorful house.,Đó là một ngôi nhà rất nhiều sắc màu.,it s a big colorful /hʌʊs/
465,I want to live in such a house.,Tớ muốn sống trong một ngôi nhà như vậy.,i /wɔnt/ /tʉː/ /lɪv/ /ɪn/ /sʌt͡ʃ/ /æɪ/ /hʌʊs/
466,I reach for a block.,Tớ với lấy khối hình.,i /ɹiːt͡ʃ/ for /æɪ/ /blɒk/
467,The block is rolling on.,Khối hình đang lăn đi.,/ði/ /blɒk/ is /ˈɹəʊlɪŋ/ /ɒn/
468,I crawl to get it.,Tớ bò theo để lấy nó.,i /kɹɔl/ /tʉː/ /ɡɛt/ /ɪt/
469,I put three marbles under the number 3.,Tớ đặt ba viên bi dưới số 3.,i /pʊt/ /θɹiː/ marbles /ˈʊndə/ /ði/ number
470,There are numbers 1 to 5 on the paper.,Có các số đếm từ 1 đến 5 trên tờ giấy.,there are numbers to on the paper
471,I study Math.,Tớ học Toán.,i study math
472,I count the marbles.,Tớ đếm những viên bi.,i count the marbles
473,There are ten marbles on the table.,Có 10 viên bi trên bàn.,there are ten marbles on the table
474,I put five marbles in each line.,Tớ xếp mỗi hàng 5 viên bi.,i put five marbles in each line
475,I write on the board.,Tớ viết lên bảng.,i write on the board
476,I write with a piece of chalk.,Tớ viết bằng một mẩu phấn.,i write with a piece of chalk
477,I write it large.,Tớ viết thật to.,i write /ɪt/ /ˈlɑːd͡ʒ/
478,I fall off the stool.,Tớ ngã khỏi ghế.,i /fɔːl/ /ɔːf/ /ði/ /stuːl/
479,I lost my balance.,Tớ bị mất thăng bằng.,i /lɒst/ /mi/ /ˈbæləns/
480,Help me!,Giúp tớ với!,/hɛlp/ /miː/
481,I study about shapes.,Tớ học về hình dạng.,i /ˈstʌdi/ /əˈbɛʊt/ /ʃeɪps/
482,I’m gazing at the blue block.,Tớ nhìn chằm chằm vào hình màu xanh.,i m /ˈɡeɪzɪŋ/ at /ði/ /bluː/ /blɒk/
483,Where should I put it?,Tớ nên đặt nó vào đâu?,/wɛə(ɹ)/ /ʃʊd/ i put it
484,I match the shapes.,Tớ ghép các hình khối cho khớp.,i match the shapes
485,I finished.,Tớ đã hoàn thành.,i finished
486,I’m sastisfied.,Tớ rất hài lòng.,i m sastisfied
487,I say the color of each card.,Tớ đọc màu của mỗi tấm thẻ.,i say the color of each card
488,I have 5 pieces of paper on the table.,Tớ có 5 tấm thẻ trên bàn.,i have pieces of paper on the table
489,"They are red, purple, green, blue and yellow.","Chúng là đỏ, tím, xanh lá cây, xanh dương, và vàng.",they are red purple green blue and yellow
490,I go get my lunch.,Tớ đi lấy bữa trưa.,i go get my lunch
491,I’m very hungry.,Tớ đang rất đói.,i m very hungry
492,I hope it is a hot dog.,Tớ hi vọng đó là món bánh mì kẹp xúc xích.,i /həʊp/ /ɪt/ is /æɪ/ /hɒt/ /dɑɡ/
493,I get older.,Tớ lớn hơn rồi.,i /ɡɛt/ /ˈəʊldə/
494,I was cute when I was a baby.,Khi còn nhỏ tớ rất đáng yêu.,i was /kjuːt/ /ʍɛn/ i was /æɪ/ /ˈbeɪbi/
495,I remember things when I was in Mommy’s tummy.,Tớ nhớ cả những điều khi còn ở trong bụng mẹ.,i /ɹɪˈmɛmbə/ /θɪŋz/ /ʍɛn/ i was in mommy s tummy
496,I go to school.,Tớ đi học.,i go to school
497,I wear my yellow cap.,Tớ đội chiếc mũ lưỡi trai màu vàng.,i wear my yellow cap
498,I carry my schoolbag on my back.,Tớ đeo cặp trên lưng.,i carry my schoolbag on my back
499,I eat salad.,Tớ ăn rau trộn.,i eat salad
500,I am about to eat a piece of tomato.,Tớ sẽ ăn một miếng cà chua.,i am about to eat a piece of tomato
501,Vegetables are good for my health.,Rau củ rất tốt cho sức khỏe của tớ.,vegetables are good for my health
502,I turn head over heels.,Tớ lộn ngược.,i turn head over heels
503,Everything looks upside down.,Mọi thứ trông như bị đảo ngược.,everything looks upside down
504,I am good at doing somersaults.,Tớ rất giỏi lộn nhào.,i [e̞m] /ɡʊ(d)/ at /ˈduːɪŋ/ somersaults
505,I get up my myself.,Tớ tự đứng dậy.,i /ɡɛt/ /ap/ /mi/ /maɪˈsɛlf/
506,I dust off my bottom.,Tớ phủi mông.,i /dʌst/ /ɔːf/ /mi/ /ˈbɒtəm/
507,Somersaults are a piece of cake.,Lộn nhào thật dễ.,somersaults /ɛə/ /æɪ/ /piːs/ /ɔv/ /keɪk/
508,I push up my friend’s bottom.,Tớ đẩy mông bạn tớ.,i [pʷʊʃ] /ap/ /mi/ /fɹɛnd/ s bottom
509,I help him to do a somersault.,Tớ giúp cậu ấy lộn nhào.,i help him to do a somersault
510,He practices it many time.,Cậu ấy luyện tập rất nhiều lần.,he practices it many time
511,I skip rope ten times without stopping.,Tớ nhảy dây 10 lần liên tục mà không nghỉ.,i skip rope ten times without stopping
512,I won’t stop until twenty.,Tớ sẽ không dừng lại cho đến lần thứ 20.,i won t stop until twenty
513,I’m out of breath.,Tớ sắp hết hơi rồi.,i m out of breath
514,I stand in line.,Tớ đứng trong hàng.,i stand in line
515,I wait for my turn.,Tớ đợi đến lượt mình.,i wait for my turn
516,Whose turn is it?,Đến lượt ai rồi nhỉ?,whose turn is it
517,I run and jump.,Tớ chạy và nhảy.,i /ɹʊn/ and /dʒʌmp/
518,I jump as far as I can.,Tớ nhảy xa nhất có thể.,i /dʒʌmp/ as /fɑː/ as i /ˈkæn/
519,My classmate runs after me.,Bạn cùng lớp của tớ đang chạy sau tớ.,/mi/ /ˈklɑːs.meɪt/ /ɹʌnz/ /ˈæf.tə(ɹ)/ /miː/
520,I wash my hands.,Tớ rửa tay.,i /wɑʃ/ /mi/ /hæn(d)z/
521,I put the soap on my hand.,Tớ cho xà phòng vào tay.,i /pʊt/ /ði/ /səʊp/ /ɒn/ /mi/ /hænd/
522,The water is running down.,Nước đang chảy xuống.,/ði/ /ˈwoːtə/ is running down
523,I dry my hands with a towel.,Tớ lau tay khô bằng một chiếc khăn.,i dry my hands with a towel
524,I hang the towel.,Tớ phơi khăn lên.,i hang the towel
525,Now my hands are clean.,Giờ thì tay tớ đã sạch rồi.,now my hands are clean
526,I dig a tunnel through the watermelon.,Tớ khoét một cái lỗ trong quả dưa hấu.,i dig a tunnel through the watermelon
527,I dig it with a fork.,Tớ khoét bằng một cái dĩa.,i dig it with a fork
528,I take the seeds off too.,Tớ gẩy hết hạt dưa đi.,i take the seeds off too
529,I look through the hole.,Tớ nhìn qua cái lỗ.,i look through the hole
530,I’ll eat all of it by myself.,Tớ sẽ ăn hết chỗ này.,i ll /iːt/ /ɔːl/ /ɔv/ /ɪt/ /baɪ/ /maɪˈsɛlf/
531,I make a big hole.,Tớ khoét một cái lỗ rất to.,i /meɪk/ /æɪ/ /bɪɡ/ /həʊl/
532,I wear glasses.,Tớ đeo kính.,i /wɛə/ /ˈɡlasɪz/
533,They’re too big for me.,Nó quá to so với tớ.,/ðeɪ/ /ɹeɪ/ /tuː/ /bɪɡ/ for /miː/
534,I have good eyesight.,Tớ có thị lực rất tốt.,i have good eyesight
535,I go to the zoo.,Tớ đi đến sở thú.,i go to the zoo
536,I go through the gate.,Tớ đi xuyên qua cổng.,i go through the gate
537,I can see various animals at the zoo.,Tớ có thể nhìn thấy rất nhiều loại động vật khác nhau trong sở thú.,i can see various animals at the zoo
538,I take chocolate and cookies with me.,Tớ mang theo sô-cô-la và bánh quy.,i take chocolate and cookies with me
539,I love sweets.,Tớ thích kẹo.,i love sweets
540,I take the sweets out of my bag.,Tớ lấy kẹo ra khỏi túi.,i take the sweets out of my bag
541,I dance.,Tớ nhảy.,i dance
542,It’s exciting.,Nó rất thú vị.,it s exciting
543,My hair is swinging.,Tóc tớ đang đung đưa.,my /heː/ is /ˈswɪŋɪŋ/
544,I put the books in my bag.,Tớ cho sách vào trong túi.,i /pʊt/ /ði/ /bʊks/ /ɪn/ /mi/ /ˈbæːɡ/
545,I wear my school uniform.,Tớ mặc đồng phục của trường.,i /wɛə/ /mi/ /skuːl/ /ˈjuːnɪfɔːm/
546,I chek my bag every morning.,Tớ kiểm tra cặp sách mỗi buổi sáng.,i chek /mi/ /ˈbæːɡ/ every /ˈmɔːnɪŋ/
547,I wake up at seven.,Tôi dậy vào lúc 7 giờ.,i /ˈweɪk/ /ap/ at /ˈsɛv.ən/
548,The alarm clock goes off.,Đồng hồ báo thức đã tắt.,/ði/ /əˈlɑːm/ clock goes off
549,Is it already time to get up?,Đã đến lúc phải dậy chưa?,is it already time to get up
550,I get out of bed.,Tôi ra khỏi giường.,i get out of bed
551,I want to sleep longer.,Tôi muốn ngủ lâu hơn nữa.,i want to sleep longer
552,My hair is messy.,Tóc tôi đang rối tung.,my hair is messy
553,I open the curtains.,Tôi mở rèm.,i open the curtains
554,It’s fine today.,Hôm nay trời rất đẹp.,it s /fæːn/ /təˈdeɪ/
555,I hear birds singing.,Tôi nghe thấy những con chim đang hót líu lo.,i /hɪə(ɹ)/ /bɜːdz/ /ˈsɪŋɪŋ/
556,I look at myself in the mirror.,Tôi soi mình trong gương.,i look at /maɪˈsɛlf/ /ɪn/ /ði/ /ˈmɘ.ɹɘ/
557,I brush my hair.,Tôi chải tóc.,i /bɹʌʃ/ /mi/ /heː/
558,I look well.,Trông tôi đẹp rồi.,i look /wɛl/
559,I sit at the table.,Tôi ngồi cạnh bàn.,i /sɪt/ at /ði/ /ˈteɪbəl/
560,I eat some bread and coffee for breakfast.,Tôi ăn một chút bánh mì và cà phê cho bữa sáng.,i /iːt/ /sɐm/ bread and coffee for breakfast
561,I never skip breakfast.,Tôi không bao giờ bỏ bữa sáng.,i never skip breakfast
562,I put some butter on my toast.,Tôi cho một ít bơ lên bánh mì nướng.,i put some butter on my toast
563,The butter melts on the toast.,Bơ tan ra trên bánh mì.,the butter melts on the toast
564,I spread it with a butter knife.,Tôi phết bơ bằng một con dao cắt bơ.,i spread it with a butter knife
565,I pour cream in my coffee.,Tôi tưới kem lên cà phê.,i pour cream in my coffee
566,I add some sugar too.,Tôi cũng cho thêm một ít đường.,i add some sugar too
567,The coffee smells good.,Cà phê rất thơm.,the coffee smells good
568,I pick up a spoon.,Tôi lấy một cái thìa.,i pick up a /spuːn/
569,The coffee is hot.,Cà phê rất nóng.,/ði/ /ˈkɑ.fi/ is /hɒt/
570,I finish eating my toast.,Tôi đã ăn xong bánh mì nướng rồi.,i /ˈfɪnɪʃ/ /ˈiːtɪŋ/ /mi/ /təʊst/
571,I stir my coffee.,Tôi khuấy cà phê.,i /stɜː/ /mi/ /ˈkɑ.fi/
572,Coffee wakes me up.,Cà phê làm tôi tỉnh táo.,/ˈkɑ.fi/ wakes /miː/ /ap/
573,I clear the table after the breakfast.,Tôi dọn sạch bàn sau bữa sáng.,i /klɪə(ɹ)/ /ði/ /ˈteɪbəl/ /ˈæf.tə(ɹ)/ /ði/ /ˈbɹɛkfəst/
574,I gather my papers.,Tôi thu lượm tất cả giấy tờ.,i /ˈɡæðə/ /mi/ /ˈpeɪpəz/
575,I glance at them.,Tôi nhìn qua chúng.,i glance at them
576,I put them in my paper bag.,Tôi bỏ chúng vào túi của mình.,i put them in my paper /ˈbæːɡ/
577,I walk down the street.,Tôi đi bộ xuống đường.,i /wɔːk/ /daʊn/ the street
578,I leave for work.,Tôi tan ca làm.,i leave for work
579,I walk faster to catch the train.,Tôi đi nhanh để bắt kịp chuyến tàu.,i walk faster to catch the train
580,I go through the ticket gate.,Tôi đi qua cổng soát vé.,i go through the ticket gate
581,The station employee greets me.,Nhân viên nhà ga chào hỏi tôi.,the station employee greets me
